player_name,stat_note
Lamar Jackson,"Zero carries from inside the 2-yard line since 2024 despite being the position's top rushing threat -- goal-line TD equity may lean elsewhere. Also led the NFL in dropped TDs in 2025 (5) despite the fewest pass attempts/game among starters and missed games -- some positive regression plausible."
DK Metcalf,"Deep targets dropped from an NFL-leading 32 to just 17 in 2025 under a new QB, despite a still-vertical route tree -- a real target-volume concern, not just a QB-accuracy story."
Travis Kelce,"Third straight season of declining fantasy PPG, and ranked just 28th among TEs in red-zone target share last season -- the role is genuinely shrinking, not just touchdown variance."
Travis Hunter,"Fantasy output swings hard with his defensive workload -- 5.8 PPG in games with 20+ defensive snaps vs. 13.5 PPG (and 2x the targets) in lighter-defense games."
Puka Nacua,"Targets per route run since 2024 sits at 36.8% -- no other qualified player in the league is even above 30%. Elite, almost outlier-level target share."
Dalton Kincaid,"Ranked 1st among all TEs in nearly every efficiency category in 2025 (targets/route, yards/route, yards/target, 1st downs/route, and more) -- the bottleneck is route volume, not talent; he ran on fewer than 25% of run-blocking snaps."
Chase Brown,"Cincinnati's QBs ranked top-3 in checkdown rate in 2025 -- a real, repeatable receiving-volume tailwind for the team's lead back. Separately, when isolating just Chase Brown's own starts, Zac Taylor has produced a fantasy RB1 in each of his 6 seasons as Bengals head coach."
Christian McCaffrey,"Has 4 of the 5 best PPR running back seasons ever since entering the league -- an unmatched statistical ceiling. Also the only RB above a 2.0 combined goal-line-carry + red-zone-target rate last season, the strongest goal-line role in the league at the position."
Malik Willis,"5th in fantasy points per snap among QBs since 2023, and 1st among all QBs in 2025 specifically -- efficient in limited/mobile usage."
Parker Washington,"Posted 454 receiving yards over Jacksonville's final four games -- more than Thomas and Meyers COMBINED (267), despite both running more routes than he did. A real late-season role spike."
Trey McBride,"Ran 667 routes in 2025, the most of any pass-catcher in the league (Ja'Marr Chase 2nd overall with 613, Travis Kelce 2nd among TEs with 511) -- as high-volume a receiving role as exists at the position."
Tyler Warren,"Target rate per route jumped from 21% with Michael Pittman on the field to 30% without him -- a big, real role increase when the top receiver is out. For reference, McBride's 2025 target/route rate was 24.4%."
Kenneth Walker III,"In 2024, both Kenneth Walker III and Chuba Hubbard cleared the same elite 2.0 combined goal-line-carry + red-zone-target threshold that only McCaffrey hit in 2025 -- real precedent for continued goal-line/red-zone role."
Chuba Hubbard,"Cleared the same elite goal-line/red-zone usage threshold in 2024 that only McCaffrey hit in 2025 -- precedent for a continued strong role."
Stefon Diggs,"Among the top deep-ball catch rates in the league in 2025 (playing with Drake Maye), alongside Jaxon Smith-Njigba and Puka Nacua."
Rome Odunze,"55% of his end-zone targets in 2025 were charted as inaccurate throws (the next-closest qualified player was 37%) -- this reads as a QB-accuracy problem depressing his TD output, not a talent/opportunity issue."
DJ Moore,"Had 13 end-zone targets vacated from his teammates this offseason, 4th-most among all WRs -- real added red-zone opportunity."
Luther Burden,"Ranked 8th in fantasy points per snap as a rookie -- 6 of the 7 WRs who ranked above him were fantasy WR1 seasons, a strong efficiency signal for a breakout."
Travis Etienne,"Ranked just 35th in explosive-carry rate but 14th in explosive yards -- the biggest gap of any RB, meaning his per-explosive-play production far outpaces how often he actually breaks one. Also the only RB with multiple explosive receiving touchdowns."
Zay Flowers,"Posted the 2nd-best yards/route on play-action plays among all WRs in 2025."
Ja'Marr Chase,"Has exactly 200 targets across his last 17 games with Joe Burrow -- extremely stable, elite target volume."
Amon-Ra St. Brown,"2nd only to Ja'Marr Chase in total targets in 2025 (172 in 17 games)."
Tetairoa McMillan,"Had 16 targets result in a drop or receiver error as a rookie, tied for the most in the league -- a real bounce-back-efficiency case for year 2."
Justin Jefferson,"Has failed to hit his own season-average fantasy output in every one of his 6 career fantasy-championship-week appearances (averaging just 10.6 PPG in those games) -- a real, repeated late-season floor concern worth knowing before a championship week."
Kyler Murray,"Played only 5 games in 2025, but was the QB5 in PPG from 2019-2024 and a top-12 QB in every one of those 6 seasons when on the field -- health, not talent, is the swing factor."
Kyle Pitts,"Finished as the TE5 last season, but the point gap between him and the TE4 above him is the same size as the gap down to the TE15 -- he's much closer to replacement-level TE production than his rank alone suggests."
Jalen Hurts,"Will have a 5th different offensive playcaller in 5 years in 2026 -- but all 4 of his prior playcallers gave him over 40% of the team's goal-line carries, suggesting his rushing-TD role is scheme-independent."
Trevor Lawrence,"Went from a bottom-4 rookie QB to a QB11 finish in year 2 -- real precedent for a second-year leap."
Jared Goff,"Went from a bottom-4 rookie QB to a QB11 finish in year 2, same as Trevor Lawrence -- a real precedent pattern for early-career QB growth."
Cam Ward,"Finished as the QB32 in 2025 while facing the league's hardest fantasy QB schedule -- meaningful context for a rough rookie season."
DeVonta Smith,"Played a lot of snaps in the slot in 2025 but was actually much more productive per route from outside -- and is expected to play more outside in 2026 (yards/route jumped +150% in his outside snaps)."
Luther Burden,"Was much more productive per route from outside than in the slot in 2025 (+59% yards/route outside) and projects to play more outside in 2026."
Ladd McConkey,"Was notably more productive per route from outside than in the slot in 2025 (+39% yards/route outside) and projects to play more outside in 2026. Separately, his yards/route increases 96% on plays with pre-snap motion -- and his offense runs more motion than any team in the league."
Davante Adams,"Posted 7.9 PPG on end-zone targets alone in 2025, the most by any WR since Randy Moss in 2007 -- an extreme, likely unsustainable touchdown-target rate worth discounting somewhat for 2026."
Ashton Jeanty,"Was one of only 3 top-12-drafted RBs in recent memory to not score 15+ PPG as a rookie (joining McCaffrey and Bijan Robinson) -- both of those players became a top-3 RB overall in year 2, real precedent for a second-year breakout."
Omarion Hampton,"Part of the same rare group of top-12-drafted rookie RBs who didn't hit 15+ PPG in year 1 as McCaffrey and Bijan Robinson -- both became top-3 RBs in year 2."
Emeka Egbuka,"Was the only WR in the league to face a top-5 fantasy-WR-defense matchup 5 separate times in 2025 without ever drawing a single bottom-5 matchup -- played the hardest schedule at the position all season."
Jahmyr Gibbs,"Ranked 2nd in the league in yards/attempt on gap-scheme runs but just 42nd on zone-scheme runs -- a real scheme-dependent efficiency split worth tracking against his offense's blocking scheme."
Jadarian Price,"Posted a poor pass-blocking grade in his college career -- a real risk factor for his playing-time floor as a rookie, since bottom-tier pass-blocking backs tend to get pulled on passing downs."
De'Von Achane,"Averages 11.4 receiving PPG in his career with Tua Tagovailoa on the field, dropping to just 3.4 in games without him -- his ceiling is closely tied to his QB's health."
Jaylen Warren,"Ranked top-2 among all RBs in targets/route, yards/route, and missed tackles/reception in 2025 -- elite receiving-back efficiency. His team also has the most vacated RB targets of any team (82) heading into 2026."
CeeDee Lamb,"Rated as the single unluckiest player in the league in 2025 by the analyst's own luck-adjustment metric (-2.7 PPG lost to bad luck) -- a real positive-regression candidate for 2026."
Drake Maye,"Was the QB32 in 4th quarters last season but the QB1 through the first three quarters -- a real garbage-time/game-script split worth knowing given his team is favored in only 10 games this year."
Brian Thomas,"Draws a brutal opening 8-week cornerback schedule in 2026, facing several of the league's top corners in a row."
