player_name,chart_source,chart_note
Josh Allen,QB Volume Graph,"Rushing volume rank far exceeds ADP-implied projection -- clear value by volume alone"
Jayden Daniels,QB Volume Graph,"Rushing volume rank far exceeds ADP-implied projection -- clear value by volume alone"
Jalen Hurts,QB Volume Graph,"Rushing volume rank exceeds ADP-implied projection -- value by volume"
Josh Jacobs,QB Volume Graph,"Rushing volume rank exceeds ADP-implied projection -- value by volume"
Drake Maye,QB Volume Graph,"Rushing volume rank exceeds ADP-implied projection -- value by volume"
Jared Goff,QB Volume Graph,"Rushing volume rank sits well below ADP-implied projection -- pure pocket passer, no rushing floor"
Matthew Stafford,QB Volume Graph,"Rushing volume rank sits well below ADP-implied projection -- pure pocket passer, no rushing floor"
De'Von Achane,RB Efficiency Graph,"'Kings' quadrant -- elite in both rushing and receiving efficiency simultaneously"
Jahmyr Gibbs,RB Efficiency Graph,"'Kings' quadrant -- elite in both rushing and receiving efficiency simultaneously"
Bijan Robinson,RB Efficiency Graph,"'Kings' quadrant -- elite in both rushing and receiving efficiency simultaneously"
Cam Skattebo,RB Efficiency Graph,"'Kings' quadrant -- elite in both rushing and receiving efficiency simultaneously"
Christian McCaffrey,RB Efficiency Graph,"'Rec Backs' quadrant -- elite receiving efficiency, strong overall dual-threat profile"
RJ Harvey,RB Efficiency Graph,"'Rec Backs' quadrant -- efficient receiving role"
Rachaad White,RB Efficiency Graph,"'Oof' quadrant -- weak in both rushing and receiving efficiency"
Najee Harris,RB Efficiency Graph,"'Oof' quadrant -- weak in both rushing and receiving efficiency"
Jonathan Taylor,RB Efficiency Graph,"'Power backs' cluster -- strong rushing efficiency, lower receiving role"
Julius Chestnut,RB Efficiency Graph,"'Power backs' cluster -- strong rushing efficiency, lower receiving role"
Jaxon Smith-Njigba,WR Efficiency Graph,"Top cluster on both 1st-downs/route and adjusted yards/route -- elite efficiency profile"
Puka Nacua,WR Efficiency Graph,"Top cluster on both 1st-downs/route and adjusted yards/route -- elite efficiency profile"
Amon-Ra St. Brown,WR Efficiency Graph,"Strong on both 1st-downs/route and adjusted yards/route"
Marquise Brown,WR Efficiency Graph,"Low on both 1st-downs/route and adjusted yards/route -- weakest efficiency profile in the sample"
Rashee Rice,QB Rushing Graph / RB Dream QB,"Plays with Mahomes -- moderate scramble rate, not a high-designed-run offense"
Jaylen Warren,RB Dream QB Graph,"Plays with Aaron Rodgers -- low QB rushing/goal-line competition, favorable RB usage context"
Najee Harris,RB Dream QB Graph,"Plays with a dual-threat QB style -- goal-line competition from the QB hurts RB TD equity"
CeeDee Lamb,Fantasy Shootout Graph,"Cowboys offense projected in the 'Shootouts' quadrant -- weak defense (2025's 32nd-ranked) means multiple fantasy studs can coexist on this offense"
Dak Prescott,Fantasy Shootout Graph,"Cowboys offense projected in the 'Shootouts' quadrant -- weak defense means added garbage-time/high-scoring passing volume"
Josh Allen,Fantasy Shootout Graph,"Bills offense projected in the 'Shootouts' quadrant -- opponents projected to score a lot too, raising the offense's own scoring floor"
